Name,Value,Value Type,Type,Discount Class
AYGÜL40,-40,percentage,Amount Off,order
sedo40,-40,percentage,Amount Off,order
GOLESLUNES40,-40,percentage,Amount Off,order
MALLORCA40,-40,percentage,Amount Off,order
NINAFASHION40,-40,percentage,Amount Off,order
SARADESIDERIA40,-40,percentage,Amount Off,order
DANIFASHION40,-40,percentage,Amount Off,order
RAHEL40,-40,percentage,Amount Off,order
KONFETTI40,-40,percentage,Amount Off,order
BEATRICE40,-40,percentage,Amount Off,order
TONI40,-40,percentage,Amount Off,order
NHI40,-40,percentage,Amount Off,order
NADINESBLOG40,-40,percentage,Amount Off,order
MARLISA40,-40,percentage,Amount Off,order
GOJANINE40,-40,percentage,Amount Off,order
MARINA40,-40,percentage,Amount Off,order
MONE40,-40,percentage,Amount Off,order
SARALINDA40,-40,percentage,Amount Off,order
SARAHLINDA40,-40,percentage,Amount Off,order
GOLARA40,-40,percentage,Amount Off,order
DORESA40,-40,percentage,Amount Off,order
ROSI40,-40,percentage,Amount Off,order
KASIA40,-40,percentage,Amount Off,order
LOURENE40,-40,percentage,Amount Off,order
SARAFASHION40,-40,percentage,Amount Off,order
SARAHTIKTOK,-40,percentage,Amount Off,order
PALINA40,-40,percentage,Amount Off,order
ANDREA40,-40,percentage,Amount Off,order
NADINESFASHIONBLOG40,-40,percentage,Amount Off,order
NADINESBLOG,-40,percentage,Amount Off,order
IULIA40,-40,percentage,Amount Off,order
MAREN40,-40,percentage,Amount Off,order
LAURAFASHION,-40,percentage,Amount Off,order
CHARLINE40,-40,percentage,Amount Off,order
ESMERALDA40,-40,percentage,Amount Off,order
SARAVIKTORIA40,-40,percentage,Amount Off,order
JANAFASHION40,-40,percentage,Amount Off,order
JULES40,-40,percentage,Amount Off,order
danifashion,-40,percentage,Amount Off,order
HAPPY40,-40,percentage,Amount Off,order
DORISSPECIAL,0,fixed_amount,Amount Off,order
CHERRY40,-40,percentage,Amount Off,order
SHERRY40,-40,percentage,Amount Off,order
CHERRY,-40,percentage,Amount Off,order
LALOU40,-40,percentage,Amount Off,order
LALOU,-40,percentage,Amount Off,order
GOSARA40,-40,percentage,Amount Off,order
CHRISSY40,-40,percentage,Amount Off,order
NINALESSIA40,-40,percentage,Amount Off,order
VALDRINA40,-40,percentage,Amount Off,order
ANNAFASHION40,-40,percentage,Amount Off,order
SARALOVE40,-40,percentage,Amount Off,order
CEACILIA40,-40,percentage,Amount Off,order
LAURENE40,-40,percentage,Amount Off,order
BRITTASPECIAL,0,fixed_amount,Amount Off,order
ALEXASPECIAL,-40,percentage,Amount Off,order
ayguele40,-40,percentage,Amount Off,order
LENI40,-40,percentage,Amount Off,order
HEYSARA40,-40,percentage,Amount Off,order
LUISA40,-40,percentage,Amount Off,order
MELINA40,-40,percentage,Amount Off,order
PINK40,-40,percentage,Amount Off,order
RACHEL40,-40,percentage,Amount Off,order
CLAUDIASPECIAL,-40,percentage,Amount Off,order
MARIA40,-40,percentage,Amount Off,order
CIGDEM40,-40,percentage,Amount Off,order
FITVANESSA40,-40,percentage,Amount Off,order
LISAYASMIN40,-40,percentage,Amount Off,order
LISAJASMIN40,-40,percentage,Amount Off,order
VALLY40,-40,percentage,Amount Off,order
MARIJKE40,-40,percentage,Amount Off,order
MARIKE40,-40,percentage,Amount Off,order
Valerie40,-40,percentage,Amount Off,order
WELCOME10,-10,percentage,Amount Off,order
HEYJENNY40,-40,percentage,Amount Off,order
LAURASPECIAL,-40,percentage,Amount Off,order
JANINASPECIAL,-40,percentage,Amount Off,order
